지점명,주소,위도,경도
수서,서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층,37.48801132,127.1017508
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),37.515351,127.060109
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),37.492209,127.039389
차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)",37.508032,127.035373
청담공원,서울특별시 강남구 학동로 506 (삼성동),37.5186549,127.05143870000006
신압구정,서울특별시 강남구 언주로174길 29 (신사동),37.528115,127.036441
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",37.50898041,127.0403869
뱅뱅사거리,서울특별시 강남구 강남대로 282 (도곡동),37.488585,127.032415
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.02968850000002
역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",37.50080096,127.0351577
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.526549,127.040437
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),37.502721,127.044308
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.50576,127.057966
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.505053,127.046577
논현힐탑,서울특별시 강남구 논현로 648 (논현동),37.5115577,127.03226199999994
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.51736229999999,127.02329570000006
코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),37.513019,127.059838
대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동),37.500313,127.066961
테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),37.50383,127.04487
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),37.618319,127.021072
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),37.6400354,127.0273766
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),37.611809,127.0306971
수유역,서울특별시 강북구 도봉로 342 (번동),37.6380167,127.02613500000007
미아역,서울특별시 강북구 도봉로 196 (미아동),37.626148,127.026578
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),37.558509,126.835096
마곡역,서울특별시 강서구 공항대로 168 (마곡동),37.559611,126.826298
우장산역,서울특별시 강서구 강서로 267 (내발산동),37.549501,126.835984
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),37.5605261,126.833887
방화DT,서울특별시 강서구 방화대로 375 (방화동),37.574339,126.816415
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),37.56813,126.82614
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",37.560487,126.829667
가양역,서울특별시 강서구 양천로 476 (등촌동),37.561640,126.853327
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),37.535149,126.863232
양천향교역,서울특별시 강서구 강서로 463 (마곡동),37.566964,126.840731
화곡동,서울특별시 강서구 화곡로 142(화곡동),37.5405115,126.8372413
등촌,서울특별시 강서구 공항대로 329 (등촌동),37.5582043,126.84433919999992
염창역,서울특별시 강서구 공항대로 627 (염창동),37.547359,126.874436
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,37.56033,126.839279
가양이마트,"서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동)",37.5578966,126.86229779999996
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),37.532303,126.846077
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동),37.477946,126.961193
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),37.479343,126.952780
신림DT,서울특별시 관악구 남부순환로 1419 (신림동),37.480935,126.908407
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),37.481599,126.952200
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),37.476169,126.965005
사당,서울특별시 관악구 남부순환로 2082-25,37.47601,126.980997
보라매대교,"서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)",37.491449,126.925432
신림사거리,서울특별시 관악구 남부순환로 1619 (신림동),37.484768,126.930467
신림,서울특별시 관악구 신림로 355-1 (신림동),37.48609493,126.9291602
신림역포도몰,"서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)",37.48385383,126.9301799
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),37.48118,126.951324
아차산역,서울특별시 광진구 천호대로 676 ,37.5505388,127.0898757
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),37.541129,127.095240
자양사거리,서울특별시 광진구 아차산로 355,37.5371158,127.0825821
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",37.547442,127.105934
자양,서울특별시 광진구 능동로 50 (자양동),37.5354769,127.06914619999998
강변역,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버,37.536155,127.093086
구의역,서울특별시 광진구 아차산로 373 (구의동),37.53698,127.084015
광장,서울특별시 광진구 아차산로 537-17 (광장동),37.542518,127.099651
금천구청역,"서울특별시 금천구 시흥대로73길 67 엠타워 112,113,114,115호",37.455983,126.895727
가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동),37.48061318,126.8805702
독산사거리,서울특별시 금천구 시흥대로 426 (독산동),37.471511,126.898775
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),37.448624,126.903183
가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동),37.481324,126.883779
금천독산,서울특별시 금천구 두산로 70 (독산동),37.46914,126.895246
가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동),37.4798346,126.88249969999992
W-Mall,서울특별시 금천구 디지털로 188 (가산동),37.47730499,126.8876908
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,37.478701,126.885076
가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),37.477221,126.883683
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",37.4794491,126.88747680000006
월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",37.6295,127.0574
월계트레이더스,서울특별시 노원구 마들로3길 15 ,37.6277053,127.06149779999998
상계초교사거리,서울특별시 노원구 노원로 449 ,37.656776,127.066442 
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),37.6206884,127.0743116
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",37.660941,127.058008
공릉역,서울특별시 노원구 동일로 1081 (공릉동),37.626337,127.072252
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",37.65048737,127.0759861
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",37.654562,127.063617
광운대,서울특별시 노원구 석계로 104 (월계동),37.6231479,127.06070090000003
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",37.64817,127.062244
노원역,"서울특별시 노원구 동일로 1413, 1층 (상계동)",37.654751,127.060034
월계이마트,서울특별시 노원구 마들로3길 15 (월계동),37.627155,127.062094
창동이마트,서울특별시 도봉구 노해로65길 4 (창동),37.651645,127.046869
쌍문역,서울특별시 도봉구 도봉로 480 (창동),37.648456,127.034783
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",37.513068,126.946537
남성역,서울특별시 동작구 사당로 219 (사당동),37.4841198,126.9725739
상도역,서울특별시 동작구 상도로37길 1 (상도1동),37.5031936,126.9484581
